영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,서울특별시 은평구 갈현로 10 (신사동),홈플러스(주)익스프레스 신사점,그 밖의 대규모점포,192012.2086,455177.7045,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 은평구 서오릉로 222 (갈현동),홈플러스 익스프레스 갈현점,그 밖의 대규모점포,191953.9402,456960.6878,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 은평구 통일로 842 (불광동),범서쇼핑,쇼핑센터,193035.2791,457365.9117,생활/편의,쇼핑센터
영업/정상,서울특별시 은평구 통일로 856 (불광동),메트로,쇼핑센터,192998.2022,457479.9952,생활/편의,쇼핑센터
영업/정상,서울특별시 은평구 수색로 217 (수색동),(주)이마트 수색점,대형마트,190977.8506,453037.788,생활/편의,대형마트
영업/정상,서울특별시 은평구 통일로 780 (불광동),불광미성상가,그 밖의 대규모점포,193600.8884,456957.2336,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 선릉로 660 (삼성동),롯데쇼핑(주) 롯데슈퍼 삼성점,구분없음,203675.905,445926.1197,생활/편의,슈퍼마켓
영업/정상,서울특별시 은평구 진흥로 103 (역촌동),롯데쇼핑(주) 롯데슈퍼 역촌점,복합쇼핑몰,193083.7657,455978.0106,생활/편의,복합쇼핑몰
영업/정상,서울특별시 은평구 불광로 20 (대조동),엔씨백화점 불광점,쇼핑센터,193661.7324,456379.1939,생활/편의,쇼핑센터
영업/정상,서울특별시 은평구 은평로 111 (응암동),(주)이마트 은평점,대형마트,192882.8377,455340.5406,생활/편의,대형마트
영업/정상,서울특별시 은평구 진흥로1길 28 (역촌동),서부종합시장,그 밖의 대규모점포,192773.9746,455630.8841,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 은평구 서오릉로 145 (구산동),홈플러스(주)익스프레스구산점,그 밖의 대규모점포,192563.8745,456570.0846,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 은평구 응암로 247 (응암동),홈플러스(주)익스프레스응암점,그 밖의 대규모점포,192674.1327,454664.1668,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 은평구 불광로 121 (불광동),홈플러스(주)익스프레스 불광점,그 밖의 대규모점포,194003.8839,457260.7365,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 은평구 가좌로 331, 1층 (신사동)",GS THE FRESH 은평가좌점,구분없음,191844.9137,454908.4954,생활/편의,슈퍼마켓
영업/정상,"서울특별시 은평구 통일로 1050 (진관동, 롯데몰은평점)",롯데몰 은평,쇼핑센터,192694.9237,459461.2361,생활/편의,쇼핑센터
영업/정상,서울특별시 통일로 484 (유진상가),유진상가,시장,194811.7563,454300.7397,생활/편의,시장
영업/정상,서울특별시 서대문구 수색로2길 45 (남가좌동),모래내시장(주),시장,192503.1283,452051.2725,생활/편의,시장
영업/정상,서울특별시 서대문구 신촌로 83 (창천동),현대백화점 신촌점,백화점,194265.0676,450433.691,생활/편의,백화점
영업/정상,서울특별시 서대문구 신촌역로 30 (신촌동),신촌 밀리오레,그 밖의 대규모점포,194798.4584,450837.0517,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서대문구 이화여대1길 10 (대현동),예스에이피엠,그 밖의 대규모점포,195063.8207,450597.8741,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서대문구 연희맛로 23 (연희동),연희슈퍼마켓,시장,193716.3399,451653.5637,생활/편의,시장
영업/정상,서울특별시 서대문구 응암로 112 (북가좌동),홈플러스(주) 익스프레스 북가좌점,구분없음,192301.1355,453354.0655,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 통일로 484, 유진상가 (홍제동)",롯데슈퍼 유진점(X),구분없음,194850.361,454344.4325,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 통일로 397, 지4층 (홍제동, 인왕산 한신휴플러스)",롯데슈퍼 홍제2점,구분없음,195281.3955,453657.5348,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 통일로 484, 유진상가 1층 (홍제동)",롯데슈퍼 유진점,구분없음,194850.361,454344.4325,생활/편의,슈퍼마켓
영업/정상,서울특별시 서대문구 응암로 54 (북가좌동),(주)GS리테일 북가좌점,복합쇼핑몰,192000.9459,452848.0091,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 서대문구 거북골로 34, 명지대학교 (남가좌동)",이마트에브리데이 명지대점,구분없음,193139.5239,453106.0026,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 수색로2길 39, B1,1,2층 (남가좌동, DMC금호리첸시아)",DMC금호리첸시아몰,그 밖의 대규모점포,192482.4165,452143.4915,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서대문구 가좌로 99(홍은동),롯데프레시 홍은점,구분없음,193440.5499,453256.426,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)",GS THE FRESH 신촌이대역점,그 밖의 대규모점포,195332.1234,450806.0584,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서대문구 홍은중앙로 89(홍은동),이마트에브리데이 홍은점,구분없음,195280.7102,455193.0147,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 수색로2길 39(남가좌동, DMC금호리첸시아)",이마트에브리데이 남가좌점,구분없음,192482.4165,452143.4915,생활/편의,슈퍼마켓
영업/정상,서울특별시 마포구 양화로 188 (동교동),AK PLAZA 홍대,쇼핑센터,193285.5497,450808.5716,생활/편의,쇼핑센터
영업/정상,서울특별시 마포구 토정로 193 (구수동),롯데슈퍼 마포점,복합쇼핑몰,193981.3127,449301.6924,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 마포구 연남로 30 (연남동, 코오롱하늘채아파트)",홈플러스익스프레스 연남점,복합쇼핑몰,192899.6057,451360.661,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 마포구 대흥로24길 24, 마포 프레스티지 자이 아파트 단지 내 상가 A동 115~119호 (염리동)",GS THE FRESH 마포염리점,구분없음,195310.8642,450080.1299,생활/편의,슈퍼마켓
영업/정상,"서울특별시 마포구 광성로 17, 상가동 127호 (신수동, 신촌숲아이파크)",GS THE FRESH 신촌숲아이파크점,구분없음,194134.5527,449869.275,생활/편의,슈퍼마켓
영업/정상,"서울특별시 서대문구 세무서8길 30, 32동 1호 (홍제동, 홍제역해링턴플레이스)",GS THE FRESH 홍제해링턴점,구분없음,195387.6223,454191.4471,생활/편의,슈퍼마켓
영업/정상,서울특별시 마포구 양화로 176 (동교동),스타피카소 아울렛,전문점,193282.1308,450549.2802,생활/편의,전문점
영업/정상,"서울특별시 마포구 마포대로6길 16, 마포시장 (공덕동)",마포시장,시장,195804.5637,449216.3113,생활/편의,시장
영업/정상,서울특별시 마포구 백범로 212 (신공덕동),(주)이마트 마포점,대형마트,195808.9045,448910.7413,생활/편의,대형마트
영업/정상,서울특별시 마포구  백범로  212 (신공덕동),(주)이마트 마포점,대형마트,195808.9045,448910.7413,생활/편의,대형마트
영업/정상,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",홈플러스 합정점,대형마트,192311.6426,449855.6439,생활/편의,대형마트
영업/정상,서울특별시 마포구 만리재로 19 (공덕동),공덕시장,시장,195810.0795,449173.776,생활/편의,시장
영업/정상,서울특별시 마포구 양화진길 5 (합정동),합정시장,시장,192257.3938,449554.4842,생활/편의,시장
영업/정상,서울특별시 마포구  신촌로  94 (노고산동),정도진흥기업(주),그 밖의 대규모점포,194273.5981,450318.7241,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 마포구 동교로12길 21 (서교동),영진시장,시장,192214.3809,450136.911,생활/편의,시장
영업/정상,서울특별시 마포구 토정로17길 17 (신수동),신수시장,시장,194236.7347,449243.1627,생활/편의,시장
영업/정상,서울특별시 마포구 월드컵로25길 26 (망원동),성산프라자(마포영화블렌하임),그 밖의 대규모점포,191651.5293,450694.8035,생활/편의,그 밖의 대규모점포
