영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,서울특별시 금천구 시흥대로 399 (독산동),시티렉스,쇼핑센터,190858.6495,440808.5413,생활/편의,쇼핑센터
영업/정상,서울특별시 금천구 남부순환로120길 23 (독산동),푸른터시장,그 밖의 대규모점포,191210.5177,441768.8339,생활/편의,시장
영업/정상,"서울특별시 금천구 시흥대로 97 (시흥동, 시흥유통상가)",시흥산업용재유통센터,그 밖의 대규모점포,191226.2874,437914.063,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로 201 (시흥동),홈플러스 시흥점,대형마트,191152.4326,438865.1607,생활/편의,대형마트
영업/정상,서울특별시 금천구 가산로 106 (가산동),홈플러스(주)익스프레스 가산점,구분없음,190527.9185,441484.8659,생활/편의,슈퍼마켓
영업/정상,서울특별시 금천구 벚꽃로 266 (가산동),마리오아울렛 3관,쇼핑센터,189759.7131,441814.1159,생활/편의,쇼핑센터
영업/정상,서울특별시 금천구 디지털로10길 9 (가산동),현대아울렛,쇼핑센터,190119.4634,441716.6846,생활/편의,쇼핑센터
영업/정상,서울특별시 금천구 디지털로 178 (가산동),가산퍼블릭 상업시설,그 밖의 대규모점포,189930.5079,441616.4607,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 금천구 시흥대로 291(독산동, 금천롯데캐슬골드파크3차)",롯데쇼핑(주) 롯데마트 금천점,쇼핑센터,190838.3248,439761.362,생활/편의,쇼핑센터
영업/정상,서울특별시 금천구 금하로 705 (시흥동),시흥중앙시장,그 밖의 대규모점포,191823.0268,438834.3781,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 금천구 시흥대로 391 (독산동),삼성테스코(주)홈플러스 금천점,대형마트,190809.5078,440728.3823,생활/편의,대형마트
영업/정상,서울특별시 금천구 시흥대로 391 (독산동),삼성테스코(주)홈플러스 금천점,대형마트,190809.5078,440728.3823,생활/편의,대형마트
영업/정상,"서울특별시 영등포구 신풍로 28, B137호 (신길동, 비스타동원)",(주)이마트에브리데이 신풍역점,구분없음,191902.2698,444157.3724,생활/편의,슈퍼마켓
영업/정상,서울특별시 영등포구  당산로  42 (문래동3가),홈플러스(주) 영등포점,대형마트,190729.5065,446227.075,생활/편의,대형마트
영업/정상,서울특별시 영등포구 당산로 34 (문래동3가),로데오 왁,전문점,190644.1207,446104.9252,생활/편의,전문점
영업/정상,서울특별시 영등포구 선유로 156 (양평동3가),코스트코 홀세일,대형마트,190408.5091,447298.0222,생활/편의,대형마트
영업/정상,서울특별시 영등포구 영등포로 225 (영등포동5가),영신상가,그 밖의 대규모점포,191691.1679,446411.0071,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 경인로 846 (영등포동),롯데백화점 영등포점,백화점,191741.3458,445970.3076,생활/편의,백화점
영업/정상,서울특별시 영등포구 선유로 156 (양평동3가),코스트코홀세일,그 밖의 대규모점포,190408.5091,447298.0222,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 도신로60길 7 (신길동),대신시장,그 밖의 대규모점포,192643.7024,445431.5209,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 대림로29길 13 (대림동),두암종합시장,그 밖의 대규모점포,190916.9114,443681.7667,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 영등포로37길 4 (영등포동5가),동남시장,그 밖의 대규모점포,191590.8783,446489.4195,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 영등포로 109 (당산동2가),영등포유통상가,그 밖의 대규모점포,190555.769,446698.8143,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 선유로 138 (양평동3가),롯데쇼핑(주) 롯데마트 양평점,대형마트,190352.3217,447095.6412,생활/편의,대형마트
영업/정상,서울특별시 영등포구 국제금융로 10 (여의도동),아이에프씨몰(IFC Mall),복합쇼핑몰,193326.931,446973.9146,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 영등포구 문래로 164, 영등포 SK 리더스뷰 (문래동3가)",룩스쇼핑센터,전문점,191087.759,446157.4373,생활/편의,전문점
영업/정상,"서울특별시 영등포구 여의동로3길 10 (여의도동,여의도자이(아) 지하 1층)",신세계 이마트 여의도점,대형마트,193393.0966,446218.4438,생활/편의,대형마트
영업/정상,서울특별시 영등포구 영중로 15 (영등포동4가),타임스퀘어,쇼핑센터,191385.0574,446098.5559,생활/편의,쇼핑센터
영업/정상,서울특별시 영등포구 대림로 251 (대림동),롯데슈퍼 대림점,구분없음,190721.4179,444571.7693,생활/편의,슈퍼마켓
영업/정상,서울특별시 영등포구 여의대방로 65 (신길동),홈플러스(주) 익스프레스 신길점,구분없음,192275.2997,443891.0734,생활/편의,슈퍼마켓
영업/정상,"서울특별시 영등포구 대림로29길 13 (대림동, 대림동 쌍용 플래티넘-S)",두암상가,그 밖의 대규모점포,190916.9114,443681.7667,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 영등포구 영중로 9 (영등포동4가, 신세계백화점)",(주)신세계 타임스퀘어점,백화점,191581.5003,446108.8072,생활/편의,백화점
영업/정상,서울특별시 영등포구 여의동로3길 10 (여의도동),(주)이마트 여의도점,대형마트,193393.0966,446218.4438,생활/편의,대형마트
영업/정상,서울특별시 영등포구 도신로 75 (도림동),홈플러스(주) 익스프레스 도림점,구분없음,191157.1393,444953.0052,생활/편의,슈퍼마켓
영업/정상,서울특별시 영등포구 가마산로69가길 12 (신길동),홈플러스(주) 익스프레스 신길3점,구분없음,191936.2544,444885.1687,생활/편의,슈퍼마켓
영업/정상,서울특별시 영등포구 영등포로 364 (신길동),홈플러스(주) 익스프레스 신길2점,구분없음,192712.7693,445770.103,생활/편의,슈퍼마켓
영업/정상,서울특별시 영등포구 여의대로 108 (여의도동),THE HYUNDAI SEOUL,백화점,193592.0004,447092.6294,생활/편의,백화점
영업/정상,"서울특별시 영등포구 신길로 162, 1층 일부 (신길동)",GS THE FRESH 신길사러가점,구분없음,192108.9259,444944.1538,생활/편의,슈퍼마켓
영업/정상,"서울특별시 영등포구 선유서로24길 6 (양평동1가, 영등포 중흥 S-CLASS)",영등포 중흥 에스클래스,그 밖의 대규모점포,189877.1865,446802.0046,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 영등포구 영중로 125 (영등포동8가),롯데쇼핑(주) 롯데마트맥스 영등포점,구분없음,191503.3861,447289.5484,생활/편의,슈퍼마켓
영업/정상,서울특별시 동작구 여의대방로 250,대림쇼핑타운,시장,193273.484,445011.2501,생활/편의,시장
영업/정상,서울특별시 동작구 사당로 215 (사당동),홈플러스(주) 익스프레스 남성점,복합쇼핑몰,197507.8344,442470.9296,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 영등포구 문래북로 8, 1층 101~106호 (문래동6가)",GS THE FRESH 문래점,구분없음,189825.7431,446574.1766,생활/편의,슈퍼마켓
영업/정상,서울특별시 동작구 서달로 150 (흑석동),해가든프라자,그 밖의 대규모점포,196587.0306,444939.4554,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 동작구 상도로 102 (상도동, 성대시장)",성대종합시장,그 밖의 대규모점포,193896.3848,444196.4848,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 동작구 상도로 81 (대방동),(주)이마트에브리데이 대방동점,복합쇼핑몰,193699.1899,444190.8446,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 동작구 사당로 300 (사당동, 이수자이)",(주)이마트에브리데이 이수점,복합쇼핑몰,198202.4725,442471.241,생활/편의,복합쇼핑몰
영업/정상,서울특별시 동작구 상도로31길 19 (상도동),(주)이마트에브리데이 상도동점,그 밖의 대규모점포,194963.2747,444866.8456,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 동작구 동작대로29길 110 (사당동, 신동아아파트)",(주)이마트에브리데이 사당동점,그 밖의 대규모점포,197802.4366,443049.214,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 동작구 노량진로 4 (대방동),(주)홈플러스 대방점,그 밖의 대규모점포,193393.3064,445577.5132,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 동작구 만양로 26 (상도동),홈플러스 익스프레스 상도2점,구분없음,195489.4234,444995.6756,생활/편의,슈퍼마켓
영업/정상,서울특별시 동작구  양녕로  170 (상도동),홈플러스 익스프레스 상도3점,구분없음,194941.0306,443848.079,생활/편의,슈퍼마켓
영업/정상,"서울특별시 동작구 상도로30길 40, 판매/근생시설동 1층 125~131호 (상도동, 상도2차두산위브트레지움아파트)",GS THE FRESH 동작구청점,구분없음,194870.3844,444631.1127,생활/편의,슈퍼마켓
영업/정상,"서울특별시 동작구 상도로 346-1 (상도동, 상도엠코타운 센트럴파크)",GS더프레시 동작상도점,구분없음,195585.914,443690.5954,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 조원로16길 27 (신림동),신림중앙시장,시장,192096.3496,442339.2136,생활/편의,시장
영업/정상,"서울특별시 관악구 청림6길 3, 관악푸르지오 상가동 110,113,114호 (봉천동)",GS THE FRESH 관악청림점,구분없음,196384.5443,442822.9803,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 신림로23길 16 (신림동),일성트루엘상가,그 밖의 대규모점포,194135.7727,440917.8451,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 난곡로26길 4 (신림동),우림시장,그 밖의 대규모점포,192893.3475,440903.8196,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 청림3길 10 (봉천동),관악쇼핑,그 밖의 대규모점포,196347.0993,442938.7224,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 남부순환로248길 35 (봉천동),원당종합시장,그 밖의 대규모점포,196912.8336,441358.8932,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 양녕로 46 (봉천동),홈플러스 익스프레스 봉천점,구분없음,195274.3433,442663.4986,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 은천로 51 (봉천동),(주)이마트에브리데이 봉천동점,구분없음,194770.4174,442676.8314,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 난곡로 220 (신림동),(주)천성세이브마트,그 밖의 대규모점포,192674.9407,441352.7131,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 과천대로 909 (남현동),홈플러스 서울남현점,대형마트,198374.4733,441033.513,생활/편의,대형마트
영업/정상,서울특별시 관악구 신림로 330 (신림동),타임스트림,복합쇼핑몰,193754.4274,442407.2012,생활/편의,복합쇼핑몰
영업/정상,서울특별시 관악구 봉천로 576 (봉천동),GS THE FRESH 낙성대점,구분없음,196501.1598,441640.881,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 쑥고개로 111 (봉천동),GS THE FRESH 관악점,구분없음,195431.4654,441896.3029,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 은천로 28 봉일프라자,봉일시장,그 밖의 대규모점포,194486.2705,442632.4695,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 양녕로 49 (봉천동),봉천현대시장,시장,195206.0569,442716.3017,생활/편의,시장
영업/정상,서울특별시 송파구 오금로32길 32 (송파동),(주)지에스리테일 송파2점,구분없음,210432.7264,444603.0037,생활/편의,슈퍼마켓
영업/정상,서울특별시 관악구 관악로 212 (봉천동),관악프라자,쇼핑센터,195963.3353,442381.536,생활/편의,쇼핑센터
영업/정상,서울특별시 관악구 관악로40길 47 (봉천동),관악현대상가,그 밖의 대규모점포,196257.8337,443341.3794,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 관악구 신림로29길 8 (신림동),신림현대종합상가,시장,193957.9443,441437.7749,생활/편의,시장
영업/정상,서울특별시 관악구 신림로 340 (신림동),르네상스쇼핑몰(주),복합쇼핑몰,193746.8338,442510.7751,생활/편의,복합쇼핑몰
영업/정상,서울특별시 관악구 남부순환로 1820 (봉천동),라붐아울렛,복합쇼핑몰,195703.0437,442094.0858,생활/편의,복합쇼핑몰
영업/정상,"서울특별시 관악구 국회단지길 7, 1층 (봉천동)",GS THE FRESH 관악은천점,구분없음,194553.8384,442719.4132,생활/편의,슈퍼마켓
영업/정상,서울특별시 서초구 방배중앙로 198 (방배동),롯데쇼핑(주)롯데슈퍼 방배점,쇼핑센터,198660.6163,443855.5734,생활/편의,쇼핑센터
영업/정상,서울특별시 방배로33길 29,롯데슈퍼 방배2점,구분없음,198984.3648,443229.8359,생활/편의,슈퍼마켓
영업/정상,서울특별시 서초구 신반포로 23 (반포동),엘루체,그 밖의 대규모점포,198791.788,444392.6725,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 사임당로 151 (서초동),무지개쇼핑,그 밖의 대규모점포,202216.05,443352.0246,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 효령로 304 (서초동),국제전자도매센타,전문점,201501.6727,442505.5731,생활/편의,전문점
영업/정상,서울특별시 서초구 신반포로3길 8 (반포동),반포프라자,그 밖의 대규모점포,198776.1135,444432.3252,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 사임당로 130 (서초동),신동아종합상가,그 밖의 대규모점포,202099.716,443138.594,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 방배천로16길 18 (방배동),방배종합시장,그 밖의 대규모점포,198492.7972,442199.2683,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 신반포로15길 29 (반포동),신반포종합시장,그 밖의 대규모점포,199448.513,444800.5508,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 나루터로 37 (잠원동),신사쇼핑,그 밖의 대규모점포,201230.6934,445992.4593,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 서초중앙로22길 25 (서초동),대림서초리시온,그 밖의 대규모점포,201295.7,443474.5249,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 서초중앙로 188 (서초동),아크로비스타 아케이드,그 밖의 대규모점포,201107.6347,443999.0671,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 매헌로 16 (양재동),하이브랜드,그 밖의 대규모점포,203204.7556,440136.7812,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 강남대로 465 (서초동),교보타워 지하아케이드,전문점,202058.6747,444618.1673,생활/편의,전문점
영업/정상,서울특별시 서초구 방배로33길 29 (방배동),이수시장,그 밖의 대규모점포,198984.3648,443229.8359,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 양재대로 159 (양재동),코스트코코리아,대형마트,203123.8704,439984.8475,생활/편의,대형마트
영업/정상,서울특별시 서초구 잠원로 51 (잠원동),뉴코아아울렛,전문점,200576.6086,445241.8984,생활/편의,전문점
영업/정상,서울특별시 서초구 신반포로3길 8 (반포동),반포프라자,그 밖의 대규모점포,198776.1135,444432.3252,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 서초구 효령로 391 (서초동, 무지개아파트)",무지개종합상가,그 밖의 대규모점포,202245.3779,442987.987,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 신반포로 194 (반포동),터미널상가,그 밖의 대규모점포,200554.744,444811.3648,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 서초구 매헌로 16 (양재동,하이브랜드 지하1층)",(주)이마트 양재점,대형마트,203204.7556,440136.7812,생활/편의,대형마트
영업/정상,서울특별시 서초구 고무래로 90-7 (서초동),서초쇼핑,그 밖의 대규모점포,201472.6689,444193.267,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 서초중앙로 220 (반포동),한양스토아,그 밖의 대규모점포,201100.601,444376.5329,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 서초구 신반포로 176 (반포동),신세계백화점 강남점,대형마트,200250.4478,444683.2205,생활/편의,대형마트
영업/정상,"서울특별시 강남구 압구정로 312, 1층 (신사동)",GS THE FRESH 압구정점,구분없음,203069.4412,447391.1304,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강남구 압구정로2길 46, 1층 (신사동, ---------)",이마트에브리데이 강남시장점,구분없음,201757.4941,446282.4545,생활/편의,슈퍼마켓
영업/정상,서울특별시 강남구 압구정로29길 72-1 (압구정동),신사상가,그 밖의 대규모점포,202440.3389,447782.5132,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 올림픽로 240 (잠실동),롯데백화점 잠실점,백화점,208589.3633,445455.9041,생활/편의,백화점
영업/정상,"서울특별시 강남구 압구정로 407 (압구정동, 갤러리아백화점)",갤러리아백화점(동관),백화점,203604.7617,447316.2228,생활/편의,백화점
영업/정상,서울특별시 강남구 학동로101길 26 (청담동),청담삼익시장,그 밖의 대규모점포,205034.1584,446675.9324,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 남부순환로 2912 (대치동, 개포우성아파트)",그랑프리,그 밖의 대규모점포,204992.4516,443183.5761,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 남부순환로 2917 (대치동),청실종합상가,그 밖의 대규모점포,205154.6381,443439.9816,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 삼성로64길 41 (대치동),대치종합상가,그 밖의 대규모점포,205558.1599,444312.0789,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 개포로109길 5 (개포동, 대청아파트)",대치1단지상가,그 밖의 대규모점포,206581.7871,443555.9912,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 개포로109길 21 (개포동, 대청아파트)",대치2단지상가,그 밖의 대규모점포,206581.7871,443555.9912,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 도곡로 401 (대치동),롯데백화점(강남점),백화점,204669.5434,443873.6212,생활/편의,백화점
영업/정상,서울특별시 강남구 테헤란로87길 22-0 (삼성동),도심공항몰(CALT MALL),쇼핑센터,205170.9597,445264.9363,생활/편의,쇼핑센터
영업/정상,"서울특별시 강남구 강남대로 432 (역삼동, 점프밀라노)",점프밀라노,그 밖의 대규모점포,202271.6949,444339.881,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 삼성로 633, 1층 (삼성동, 삼광빌딩)",노브랜드 삼성점,구분없음,204455.655,446026.11,생활/편의,슈퍼마켓
영업/정상,서울특별시 강남구 봉은사로 524 (삼성동),웨스틴 서울 파르나스 아케이드,쇼핑센터,205130.5917,445590.0968,생활/편의,쇼핑센터
영업/정상,서울특별시 강남구 테헤란로 521 (삼성동),파르나스몰(PARNAS MALL),쇼핑센터,205314.1599,445204.7093,생활/편의,쇼핑센터
영업/정상,서울특별시 강남구 영동대로 513 (삼성동),코엑스 몰,복합쇼핑몰,205340.6311,445354.5711,생활/편의,복합쇼핑몰
영업/정상,서울특별시 압구정로 201 (구현대아파트),금강상가,그 밖의 대규모점포,202485.2265,447521.5203,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 남부순환로 2921 (대치동),남서울종합시장,그 밖의 대규모점포,205209.7471,443490.8173,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 역삼로 310 (역삼동),(주)이마트 역삼점,대형마트,204213.6432,444113.0282,생활/편의,대형마트
영업/정상,서울특별시 강남구 학동로43길 38 (논현동),논현웰스톤상가,그 밖의 대규모점포,203292.307,446247.5115,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 남부순환로 2804 (도곡동, 아카데미스위트)",아카데미프라자,그 밖의 대규모점포,204538.1449,442942.8535,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 삼성로103길 12 (삼성동),삼성동 신도브래뉴 주상복합 상가,그 밖의 대규모점포,204652.111,445353.1744,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 강남대로124길 22, 3층 301호 (논현동)",영동전통시장,그 밖의 대규모점포,202023.3952,445302.9159,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 학동로4길 15 (논현동),동화상가(주),그 밖의 대규모점포,202010.0103,445368.1318,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 학동로 176 (논현동),홈플러스익스프레스 학동역점,구분없음,202599.5121,445700.2739,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강남구 삼성로 150 (대치동, 한보미도맨션)",한보종합상가,그 밖의 대규모점포,205886.2868,443467.6118,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 역삼로 310 (역삼동),한솔필리아,그 밖의 대규모점포,204213.6432,444113.0282,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강남구 압구정로2길 46 (신사동),강남시장,복합쇼핑몰,201757.4941,446282.4545,생활/편의,복합쇼핑몰
영업/정상,서울특별시 강남구 봉은사로33길 33 (논현동),논현종합시장,그 밖의 대규모점포,203005.088,445311.31,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 언주로 726 (논현동, 두산빌딩)",두산아케이드,그 밖의 대규모점포,203050.7839,446316.514,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 양재대로55길 6 (일원동, 도시개발아파트)",수서1-2단지상가,그 밖의 대규모점포,207748.4871,443240.945,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 압구정로 165 (압구정동, 현대백화점본점)",(주)현대백화점 본점,백화점,202358.5057,447232.9557,생활/편의,백화점
영업/정상,"서울특별시 강남구 테헤란로 517 (삼성동, 무역센터현대백화점)",현대백화점 무역센터점,백화점,205210.3588,445154.4223,생활/편의,백화점
영업/정상,"서울특별시 강남구 압구정로 343 (압구정동, 갤러리아백화점)",갤러리아백화점(서관),백화점,203470.8484,447369.5799,생활/편의,백화점
영업/정상,서울특별시 강남구 압구정로46길 5-2 (신사동),홈플러스 익스프레스 압구정점,구분없음,203191.2571,447312.9037,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강남구 압구정로18길 25 (신사동, 한국산업양행빌딩)",GS THE FRESH 신사점,구분없음,202167.013,446808.0756,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강남구 테헤란로 231, 센터필드 (역삼동)",더 샵스 앳 센터필드 (THE SHOPS AT CENTERFIELD),그 밖의 대규모점포,203599.0628,444556.0623,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강남구 도산대로89길 35, 지상1층 107, 108호 (청담동, 청담범신칼릭스빌2차)",GS THE FRESH 청담점,대형마트,204504.3687,447166.9913,생활/편의,대형마트
영업/정상,서울특별시 송파구 올림픽로 300-0 (신천동),롯데하이마트 월드타워점,전문점,209074.9008,445657.8093,생활/편의,전문점
영업/정상,서울특별시 송파구 올림픽로 203 (잠실동),(주)지에스리테일 잠실점,구분없음,208187.6235,445589.7186,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 올림픽로 300 (신천동),롯데월드몰,쇼핑센터,209074.9008,445657.8093,생활/편의,쇼핑센터
영업/정상,"서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 (신천동)",롯데백화점 에비뉴엘 월드타워점,백화점,209074.9008,445657.8093,생활/편의,백화점
영업/정상,"서울특별시 송파구 문정로 1, 지층 B104호-B107호 (문정동, 문정역 마에스트로)",GS THE FRESH 문정역점,구분없음,210813.5131,442691.1806,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 마천로45길 23 (마천동),마천시장,그 밖의 대규모점포,213247.1961,444020.5685,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 올림픽로4길 40 (잠실동),프리마 쇼핑센타,그 밖의 대규모점포,206397.348,444963.2339,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 석촌호수로 133 (잠실동),홈플러스(주)익스프레스 잠실점,구분없음,208045.233,445054.4108,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 가락로28길 7 (송파동),홈플러스(주) 익스프레스 송파점,구분없음,210252.9067,444914.3074,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 가락로 103 (석촌동),엄마손상가,그 밖의 대규모점포,209440.7265,444369.4957,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 충민로 10 (문정동),가든파이브 툴,쇼핑센터,210480.282,441833.1632,생활/편의,쇼핑센터
영업/정상,서울특별시 송파구 충민로 66 (문정동),가든파이브 라이프,그 밖의 대규모점포,210986.4607,441725.2935,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 마천로 315 (마천동),송파쇼핑센타,그 밖의 대규모점포,213279.7811,443674.6829,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 양재대로72길 5 (오금동),올림픽파크동부센트레빌 상가,그 밖의 대규모점포,211217.0019,445334.1517,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 동남로 189 (가락동),쌍용프라자 상가,그 밖의 대규모점포,211259.9098,443711.7029,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 송파구 올림픽로35가길 16 (신천동),홈플러스(주)잠실점,대형마트,209039.148,446007.9668,생활/편의,대형마트
영업/정상,서울특별시 송파구 올림픽로 240 (잠실동),롯데하이마트잠실점,전문점,208589.3633,445455.9041,생활/편의,전문점
영업/정상,서울특별시 송파구 양재대로 1222 (방이동),올림픽프라자상가,그 밖의 대규모점포,211619.368,445963.3849,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 송파구 오금로31가길 20 (방이동, 대림아파트)",(주)지에스리테일 방이점,구분없음,210908.9845,445042.9203,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 올림픽로 240 (잠실동),롯데쇼핑(주)롯데마트 제타플렉스 잠실점,대형마트,208589.3633,445455.9041,생활/편의,대형마트
영업/정상,서울특별시 송파구 올림픽로 269 (신천동),롯데캐슬플라자,쇼핑센터,208836.1921,445807.7274,생활/편의,쇼핑센터
영업/정상,서울특별시 송파구 올림픽로 212 (잠실동),갤러리아팰리스 아케이드,그 밖의 대규모점포,208233.927,445435.2576,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 송파구 백제고분로 207 (삼전동, 제이 플레이스)",홈플러스 익스프레스 삼전역점,구분없음,207875.5963,444672.586,생활/편의,슈퍼마켓
영업/정상,서울특별시 오금로 512,홈플러스(주)익스프레스 거여점,구분없음,212800.7,443397.2619,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 백제고분로34길 3 (석촌동),롯데쇼핑(주)롯데슈퍼석촌점,구분없음,208675.8128,444446.0535,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 양재대로72길 5 (오금동),농협하나로마트방이역점,구분없음,211217.0019,445334.1517,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 백제고분로33길 25 (석촌동),GS THE FRESH 송파석촌호수점,구분없음,208648.8501,444767.4404,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 중대로9길 35 (가락동),(주)이마트에브리데이 가락동점,구분없음,210391.462,443796.027,생활/편의,슈퍼마켓
영업/정상,"서울특별시 송파구 송파대로 111, 하비오길동 제1층 호텔로 202동 (문정동, 파크하비오)",GS THE FRESH 송파하비오점,구분없음,210868.3975,442053.2279,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구  올림픽로51길  52 (풍납동),홈플러스(주)익스프레스 풍납점,구분없음,210378.825,447916.0439,생활/편의,슈퍼마켓
영업/정상,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",이마트에브리데이 송파점,구분없음,209412.1978,443928.7833,생활/편의,슈퍼마켓
영업/정상,서울특별시 송파구 동남로20길 24 (가락동),롯데프레시송파가락가맹점,구분없음,211822.1007,443697.7397,생활/편의,슈퍼마켓
영업/정상,서울특별시 강동구 양재대로89길 16 (성내동),파크프라자 상가,그 밖의 대규모점포,211838.3543,447195.6768,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강동구 천호대로 1017 (천호동),(주)이마트천호점,대형마트,211025.925,448495.1892,생활/편의,대형마트
