카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,정릉_파출소,서울특별시 성북구  솔샘로 111,37.61607297,127.0086028
안전,경찰서/파출소,정릉2_파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,37.60456095,127.0107204
안전,경찰서/파출소,성북_파출소,서울특별시 성북구  성북로 94  성북파출소,37.59327273,126.998472
안전,경찰서/파출소,답십리_지구대,서울시 동대문구 사가정로 2길 9,37.5712943,127.0510676
안전,경찰서/파출소,용신_지구대,서울특별시 동대문구  청계천로549,37.57284342,127.037209
안전,경찰서/파출소,청량리_파출소,서울특별시 동대문구 약령시로21가길 15,,
안전,경찰서/파출소,제기_파출소,서울특별시 동대문구 약령시로 17길 59-11,37.58556267,127.0420264
안전,경찰서/파출소,전농1_파출소,서울특별시 동대문구 서울시립대로 56,37.57612945,127.0479381
안전,경찰서/파출소,전농2_파출소,서울특별시 동대문구 전농로38다길 21,37.58637309,127.0542292
안전,경찰서/파출소,장안1_파출소,서울특별시 동대문구 한천로20길 9,37.5696343,127.0650047
안전,경찰서/파출소,장안2_파출소,서울특별시 동대문구  답십리로 69길 100,37.57679364,127.0744038
안전,경찰서/파출소,이문_지구대,서울특별시 동대문구  한천로 402,37.59648386,127.0681153
안전,경찰서/파출소,휘경_파출소,서울특별시 동대문구  한천로 266,37.58467452,127.0680238
안전,경찰서/파출소,회기_파출소,서울특별시 동대문구  회기로18길 2,37.59108473,127.0518493
안전,경찰서/파출소,서강_지구대,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)",37.54734721,126.9293114
안전,경찰서/파출소,공덕_지구대,서울특별시 마포구 마포대로 195-1,37.55180946,126.9540398
안전,경찰서/파출소,월드컵_지구대,서울특별시 마포구  월드컵북로 30길 24,37.56873169,126.9090823
안전,경찰서/파출소,홍익_지구대,서울특별시 마포구  양화로11길 63,37.55187634,126.9134625
안전,경찰서/파출소,용강_지구대,서울특별시 마포구 토정로31길 35,37.54256134,126.9430834
안전,경찰서/파출소,상암_파출소,서울특별시 마포구  매봉산로 76,37.57828068,126.8938446
안전,경찰서/파출소,망원_파출소,서울특별시 마포구  망원로2길 63,37.55433943,126.9027335
안전,경찰서/파출소,연남_파출소,서울특별시 마포구  연남로 4,37.56033561,126.9237621
안전,경찰서/파출소,중앙_지구대,서울특별시 영등포구  영등포로46길 14,37.51801061,126.9075138
안전,경찰서/파출소,여의도_지구대,서울특별시 영등포구  여의공원로 120 여의도지구대,37.52962078,126.9266911
안전,경찰서/파출소,문래_지구대,서울특별시 영등포구  경인로 759,37.51358216,126.8976501
안전,경찰서/파출소,신풍_지구대,서울특별시 영등포구 대방천로 195(신길동 3741-23),37.49909994,126.9128049
안전,경찰서/파출소,신길_지구대,서울특별시 영등포구 노량진로 11,37.51297212,126.9265078
안전,경찰서/파출소,양평_파출소,서울특별시 영등포구  선유로 95,37.52272305,126.8896845
안전,경찰서/파출소,당산_지구대,서울특별시 영등포구  당산로 221,37.53361568,126.9012639
안전,경찰서/파출소,대림_지구대,서울특별시 영등포구  대림로23길 16-1,37.49343055,126.8987029
안전,경찰서/파출소,대림3_파출소,서울특별시 영등포구 가마산로 334,37.49898725,126.8966377
안전,경찰서/파출소,영등포역_파출소,서울특별시 영등포구 영신로20길 11,37.51545334,126.9088443
안전,경찰서/파출소,한양_지구대,서울특별시 성동구  사근동길 5,37.56030192,127.0417943
안전,경찰서/파출소,성수_지구대,서울특별시 성동구  광나루로2길 35 성수지구대,37.5482232,127.0552456
안전,경찰서/파출소,서울숲_지구대,서울특별시 성동구  성덕정길 77-2,37.5380575,127.0522733
안전,경찰서/파출소,왕십리_파출소,서울특별시 성동구  마장로 205,37.5666689,127.0326584
안전,경찰서/파출소,행당_파출소,서울특별시 성동구  행당로 89,37.55742891,127.0288559
안전,경찰서/파출소,옥수_파출소,서울특별시 성동구  독서당로 211,37.54383892,127.0143489
안전,경찰서/파출소,금호_파출소,서울특별시 성동구  금호로11길 2-1,37.5547388,127.0196183
안전,경찰서/파출소,응봉_파출소,서울특별시 성동구  독서당로 373 응봉파출소,37.5497977,127.0300204
안전,경찰서/파출소,용답_파출소,서울특별시 성동구  용답중앙길 49 용답파출소,37.56478214,127.0517587
안전,경찰서/파출소,사당_지구대,서울특별시 동작구 사당로28길 44,37.48078407,126.9792726
안전,경찰서/파출소,노량진_지구대,서울특별시 동작구  등용로12나길 2,37.51114774,126.9332977
안전,경찰서/파출소,상도_지구대,서울특별시 동작구  등용로 24 ,37.50593298,126.9362025
안전,경찰서/파출소,남성_지구대,서울특별시 동작구 사당로17나길 4,37.48412318,126.9732631
안전,경찰서/파출소,흑석_지구대,서울특별시 동작구 흑석로13길 13,37.5093774,126.9601456
안전,경찰서/파출소,신대방_지구대,서울특별시 동작구 신대방1다길 24,37.48664583,126.9059471
안전,경찰서/파출소,대방_파출소,서울특별시 동작구 여의대방로 130,37.49856527,126.920574
안전,경찰서/파출소,광나루_지구대,서울특별시 광진구 아차산로 567,37.54445466,127.1033165
안전,경찰서/파출소,화양_지구대,서울특별시 광진구  능동로17길 39 화양지구대,37.54652678,127.0712676
안전,경찰서/파출소,중곡1_파출소,서울특별시 광진구 능동로 385,37.56372011,127.0827881
안전,경찰서/파출소,중곡2_파출소,서울특별시 광진구  능동로 346,37.56015047,127.0814751
안전,경찰서/파출소,중곡3_파출소,서울특별시 광진구 동일로76가길 28,37.56880689,127.0801381
안전,경찰서/파출소,중곡4_파출소,서울특별시 광진구  용마산로24길 7,37.56535103,127.0872605
안전,경찰서/파출소,자양_파출소,서울특별시 광진구 뚝섬로36길 9,37.53385103,127.0716125
안전,경찰서/파출소,자양1_파출소,서울특별시 광진구  자양번영로 80,37.53662079,127.0769223
안전,경찰서/파출소,자양4_파출소,서울특별시 광진구  뚝섬로22가길 43번지 자양4파출소,37.53518701,127.063636
안전,경찰서/파출소,구의_파출소,서울특별시 광진구 광나루로 43길 26 구의파출소,37.54589543,127.0916677
안전,경찰서/파출소,응암_지구대,서울특별시 은평구  은평로 171,37.60163453,126.9264459
안전,경찰서/파출소,신사_지구대,서울특별시 은평구  은평터널로5길 6호,37.59177969,126.9053575
안전,경찰서/파출소,녹번_파출소,서울특별시 은평구  진흥로 진흥로200,37.6088119,126.9318356
안전,경찰서/파출소,응암3_파출소,서울특별시 은평구  응암로 208 ,37.59052753,126.9175368
안전,경찰서/파출소,역촌_파출소,서울특별시 은평구  연서로 61,37.60458817,126.9150657
안전,경찰서/파출소,미아_지구대,서울특별시 강북구 도봉로 127,37.62015534,127.0282649
안전,경찰서/파출소,솔샘_지구대,서울특별시 강북구 오현로 4,37.61630948,127.0304008
안전,경찰서/파출소,수유1_파출소,서울특별시 강북구  삼양로 305,37.63067544,127.0175813
안전,경찰서/파출소,수유2_파출소,서울특별시 강북구 삼각산로 115,37.64093792,127.0171166
안전,경찰서/파출소,수유3_파출소,서울특별시 강북구  한천로150길 76,37.64433521,127.0265847
안전,경찰서/파출소,인수_파출소,서울특별시 강북구 인수봉로 227,37.63943981,127.012404
