도서관명,주소,위도,경도,카테고리_대,카테고리_소
강남구립못골도서관,서울특별시 강남구 자곡로 116,37.47153836,127.096582,도서관,도서관
강남역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36. 4층,37.4964968,127.0320274,도서관,도서관
개포하늘꿈도서관,서울특별시 강남구 개포로 110길 54,37.49066929,127.0803569,도서관,도서관
논현도서관,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,37.51727791,127.0371879,도서관,도서관
논현문화마루도서관,"서울특별시 강남구 논현로131길 40, 4~5층",37.51384422,127.0271069,도서관,도서관
대치도서관,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,37.49961577,127.0659154,도서관,도서관
도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,37.4883101,127.0388803,도서관,도서관
못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3?,37.47330615,127.0997279,도서관,도서관
서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45,37.51368143,127.0468374,도서관,도서관
서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30,37.48308019,127.063867,도서관,도서관
역삼도서관,"서울특별시 강남구 역삼로7길 16, 5층",37.49537321,127.0332838,도서관,도서관
열린도서관,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,37.4840224,127.0844597,도서관,도서관
일원라온영어도서관,서울특별시 강남구 영동대로 22 B1(일원동 743),37.49109411,127.074164,도서관,도서관
정다운도서관,서울특별시 강남구 학동로67길 11 3층,37.51909871,127.0464409,도서관,도서관
즐거운도서관,서울특별시 강남구 도곡로77길 23 4층,37.49972974,127.0578495,도서관,도서관
청담도서관,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,37.52509298,127.0492914,도서관,도서관
행복한도서관,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),37.50230515,127.0641886,도서관,도서관
강동구립강일도서관,서울특별시 강동구 아리수로 93길 9-14,37.56504077,127.1739073,도서관,도서관
강동구립도서관,서울특별시 강동구 동남로 870(상일동) 강동문화재단,37.55122046,127.1573425,도서관,도서관
강동구립둔촌도서관,서울특별시 강동구 동남로49길 21-8,37.53178679,127.1481604,도서관,도서관
강동구립성내도서관,서울특별시 강동구 성안로 106-1,37.53284547,127.133343,도서관,도서관
강동구립암사도서관,서울특별시 고덕로 20길 42 (암사동 471-37),37.55283302,127.1333655,도서관,도서관
강동구립천호도서관,서울특별시 강동구 성안로 31마길 1(천호3동 제2공영주차장 지상 2층),37.54052322,127.1340815,도서관,도서관
강동구립해공도서관,서울특별시 강동구 올림픽로 702,37.54394767,127.1255384,도서관,도서관
명성교회도서관,서울특별시 강동구 상암로51길 8,37.54690773,127.1462752,도서관,도서관
서울특별시교육청강동도서관,서울특별시 강동구 양재대로116길 57,37.53815107,127.1434874,도서관,도서관
서울특별시교육청고덕평생학습관,서울특별시 강동구 고덕로 295 (고덕2동 296),37.55612041,127.1580394,도서관,도서관
강북문화정보도서관,서울특별시 강북구 오현로 145,37.6251151,127.0360795,도서관,도서관
강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,37.62307414,127.0215511,도서관,도서관
미아문화정보도서관,서울특별시 강북구 솔매로49길 14,37.62709228,127.0269757,도서관,도서관
삼각산어린이도서관,서울특별시 강북구 삼양로19길 34,37.61514822,127.0207421,도서관,도서관
솔샘문화정보도서관,서울특별시 강북구 솔샘로 177,37.62047765,127.0124025,도서관,도서관
송중문화정보도서관,서울특별시 강북구 도봉로20나길 6,37.61831312,127.0299376,도서관,도서관
수유문화정보도서관,서울특별시 강북구 삼양로 299,37.6300516,127.0175594,도서관,도서관
가양도서관,서울특별시 강서구 양천로61길101(가양동 1493),37.55994851,126.8655346,도서관,도서관
강서영어도서관,서울특별시 강서구 곰달래로57가길 26,37.53468572,126.8608018,도서관,도서관
곰달래도서관,"서울특별시 강서구 강서로5길 50 (곰달래문화복지센터 5, 6층)",37.52905938,126.8488976,도서관,도서관
길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.57871971,126.8136582,도서관,도서관
꿈꾸는어린이도서관,서울특별시 강서구 공항대로 615,37.54733669,126.8733189,도서관,도서관
등빛도서관,서울특별시 강서구 강서로62길 48,37.56245409,126.8423739,도서관,도서관
서울특별시교육청강서도서관,서울특별시 강서구 등촌로51나길 29,37.5479003,126.8599262,도서관,도서관
우장산숲속도서관,서울특별시 강서구 우현로 34,37.54828757,126.8418355,도서관,도서관
푸른들청소년도서관,서울특별시 강서구 강서로45다길 71,37.54467538,126.835182,도서관,도서관
관악중앙도서관,서울특별시 관악구 신림로 3길 35,37.46759816,126.9448714,도서관,도서관
글빛정보도서관,서울특별시 관악구 관악로 30길 23,37.4862426,126.9596701,도서관,도서관
성현동작은도서관,서울특별시 관악구 관악로37길 56 동아아파트 상가B동 5층,37.48731057,126.956182,도서관,도서관
은천동작은도서관,서울특별시 관악구 봉천로33나길 30,37.48530503,126.9424097,도서관,도서관
조원도서관,서울특별시 관악구 조원로12길 25,37.48256322,126.9077952,도서관,도서관
광진어린이영어도서관,서울특별시 광진구 천호대로136길 55 (구의동),37.5471614,127.0899289,도서관,도서관
광진정보도서관,서울특별시 광진구 아차산로78길 90(광장동),37.55107291,127.1106155,도서관,도서관
구의제3동도서관,서울특별시 광진구 강변역로 17(구의동),37.53799119,127.0919832,도서관,도서관
군자동도서관,서울특별시 광진구 면목로 13 군자동복합청사 1층,37.55548521,127.0753494,도서관,도서관
아차산숲속도서관,서울특별시 광진구 영화사로 139,37.552474,127.1008158,도서관,도서관
자양제4동도서관,서울특별시 광진구 뚝섬로26길 58 (자양동),37.5341003,127.0662596,도서관,도서관
자양한강도서관,서울특별시 광진구 뚝섬로52길 66(자양동),37.52921552,127.077668,도서관,도서관
중곡문화체육센터도서관,서울 광진구 능동로 433,37.5677792,127.0848024,도서관,도서관
개봉도서관,서울특별시 구로구 개봉로16길 30-11,37.49008228,126.8584998,도서관,도서관
고척열린도서관,서울 구로구 경인로43길 49,37.49906919,126.857533,도서관,도서관
구로구립온누리도서관,"서울특별시 구로구 구로중앙로27나길 9, 4층 (구로초등학교 온누리관)",37.49751199,126.8854812,도서관,도서관
구로기적의도서관,서울특별시 구로구 구로중앙로40길 24(신도림동),37.50673545,126.877376,도서관,도서관
구로꿈나무도서관,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",37.50622215,126.8920012,도서관,도서관
구로미래도서관,서울 구로구 새말로 111,37.50705341,126.8914181,도서관,도서관
궁동어린이도서관,서울특별시 구로구 오리로 1352,37.50531416,126.8928724,도서관,도서관
글마루한옥어린이도서관,서울특별시 구로구 고척로27바길 7,37.50692111,126.8456405,도서관,도서관
꿈마을도서관,서울특별시 구로구 디지털로27다길 65,37.48714477,126.8901557,도서관,도서관
서울특별시교육청고척도서관,서울특별시 구로구 고척로45길 31,37.50534626,126.8530515,도서관,도서관
서울특별시교육청구로도서관,서울특별시 구로구 공원로 15,37.49867236,126.8911162,도서관,도서관
하늘도서관,서울특별시 구로구 구로동로13길 68,37.50531416,126.8928724,도서관,도서관
항동푸른도서관,서울특별시 구로구 연동로 290-46 (항동),37.48475177,126.8247176,도서관,도서관
금천구립가산도서관,서울특별시 금천구 가산로5길 43,37.47349155,126.8921299,도서관,도서관
금천구립금나래도서관,서울특별시 금천구 시흥대로73길 70,37.45690514,126.8953686,도서관,도서관
금천구립독산도서관,서울특별시 금천구 독산로54길 114,37.4675797,126.908105,도서관,도서관
금천구립시흥도서관,서울특별시 금천구 금하로 764(시흥동) 금천종합복지타운(시흥2동주민센터),37.44963042,126.9146113,도서관,도서관
노원어린이도서관,서울특별시 노원구 한글비석로 346,37.65795038,127.07638,도서관,도서관
노원중앙도서관,서울특별시 노원구 노원로34길 43,37.66109973,127.0650094,도서관,도서관
노원휴먼라이브러리,서울특별시 노원구 노원로34길 43 지하1층,37.66109973,127.0650094,도서관,도서관
불암도서관,서울특별시 노원구 중계로 106,37.64528936,127.0825433,도서관,도서관
상계도서관,서울특별시 노원구 동일로243길 57,37.67852767,127.0519406,도서관,도서관
서울특별시교육청노원평생학습관,서울특별시 노원구 동일로204길 13,37.63953995,127.067837,도서관,도서관
월계도서관,서울특별시 노원구 월계로 319,37.62863532,127.0561218,도서관,도서관
월계어린이도서관,서울특별시 월계로 42길 9 월계문화복지센터,37.62426736,127.0507933,도서관,도서관
하계어린이도서관,서울특별시 노원구 공릉로62길 18(하계어울림센터),37.63610414,127.0724241,도서관,도서관
화랑도서관,서울특별시 노원구 노원로1나길 10,37.62151605,127.0830474,도서관,도서관
김근태기념도서관 ,서울특별시 도봉구 도봉산길 14,37.68766744,127.0440199,도서관,도서관
도봉구도서관기획정보화팀,서울특별시 도봉구 노해로 63길 43 도봉구행정지원센터 3층 재단법인 도봉문화재단,37.65270701,127.0439373,도서관,도서관
