점포명,주소,위도,경도,카테고리_대,카테고리_소
스타벅스 마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동)...,37.56805817,126.8259608,cafe,cafe
스타벅스 마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호...",,,cafe,cafe
스타벅스 가양역,서울특별시 강서구 양천로 476 (등촌동),37.56160018,126.853272,cafe,cafe
스타벅스 화곡DT,서울특별시 강서구 등촌로 57 (화곡동),37.53501259,126.863143,cafe,cafe
스타벅스 화곡동,서울특별시 강서구 화곡로 142(화곡동),37.54056658,126.8375818,cafe,cafe
스타벅스 염창역,서울특별시 강서구 공항대로 627 (염창동),37.54728722,126.8745387,cafe,cafe
스타벅스 발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트...,37.56018726,126.8393082,cafe,cafe
스타벅스 까치산역,서울특별시 강서구 강서로13길 3 (화곡동),37.53229575,126.8460479,cafe,cafe
스타벅스 마곡코엑스,서울특별시 강서구 마곡중앙로 143 (마곡동),37.56477507,126.8252529,cafe,cafe
스타벅스 염창대로,"서울특별시 강서구 양천로 744 (염창동), 101호...",37.54855989,126.878256,cafe,cafe
스타벅스 발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부...",37.55799232,126.8405568,cafe,cafe
스타벅스 양천향교역,서울특별시 강서구 양천로 344 (마곡동),37.56826602,126.8403596,cafe,cafe
스타벅스 화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부...",37.54236276,126.8393222,cafe,cafe
스타벅스 강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/...",,,cafe,cafe
스타벅스 등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)...",37.55073885,126.8664123,cafe,cafe
스타벅스 마곡보타닉게이트,"서울특별시 강서구 마곡동로 166 (마곡동) 106호,107호,108호...",37.56909185,126.836784,cafe,cafe
