책방 이름,주소,위도,경도,카테고리_대,카테고리_소
나무곁에서서,강서구 강서로76길 19,37.56934296,126.8426277,문화,새서점      
나비루,송파구 올림픽로10길 40 102호,37.50818302,127.081577,문화,새서점      
날일달월,광진구 아차산로78길 7 유진스웰 B 202호,37.5503756,127.1092971,문화,새서점      
남영서점,동작구 서달로 149,37.50677051,126.9614626,문화,헌서점      
낫저스트북스,성동구 성덕정9가길 14,37.53887486,127.0512958,문화,새서점      
노른자책방,영등포구 선유로9길 30 롯데캐슬상가 207호,37.52443186,126.8847533,문화,새서점      
노말에이,중구 마른내로 12 4층,37.56460792,126.9891161,문화,새서점      
노원문고 본점,노원구 동일로 1384 지하1층,37.65234567,127.0615671,문화,새서점      
노원문고 제5매장,노원구 상계로 59 동명빌딩 지하1층,37.65616028,127.0615152,문화,새서점      
노원문고 중계점,노원구 중계로 206 지하1층,37.65084171,127.0775257,문화,새서점      
뉴타운문고,강북구 도봉로 45 숭인시장 나진동1호,37.61314356,127.0294532,문화,새서점      
늘벗서점,관악구 신림로 83,37.47034117,126.9401232,문화,새서점      
늘푸른글방,영등포구 영등포로 418-1,37.51259902,126.9243748,문화,새서점      
니은서점,은평구 연서로26길 35,37.61514899,126.9221987,문화,새서점      
다름상상,광진구 구의로16길 93,37.54146317,127.0946077,문화,새서점      
다모아헌책방,동작구 사당로17길 25,37.4842974,126.9735363,문화,헌서점      
다산서적,관악구 대학6길 19,37.46893814,126.9365331,문화,새서점      
다솜서점,노원구 동일로 1677 제성빌딩 지하1층,37.67818419,127.0549684,문화,새서점      
다솜서점,관악구 난우10길 6 지하1층,37.47606536,126.9180205,문화,새서점      
다시서점,강서구 공항대로8길 77-24,37.5574055,126.8129789,문화,새서점      
다온책방,성북구  한천로68길 31,37.60915189,127.0658626,문화,새서점      
다정한책방,동작대로9가길 32,37.47966198083767,126.97791393148007,문화,새서점      
달걀책방,서대문구 성산로9길 43-35,37.56765993,126.9229877,문화,새서점      
달마헌책방,관악구 남부순환로 1925 지하 1층,37.4775252,126.9632763,문화,헌서점      
당인리책발전소,마포구 월드컵로14길 10-8,37.555689,126.9111491,문화,새서점      
대광서림,중구 청계천로 274 다9호,37.56942586,127.0080476,문화,헌서점      
대교서적,영등포구 국제금융로7길 22 대교비상가 116호,37.52325044,126.9330741,문화,새서점      
대륙서점,동작구 성대로 40,37.49894128,126.9332915,문화,새서점      
대림문고,영등포구 대림로 199 건용빌딩,37.49856075,126.8979202,문화,새서점      
대민문고,관악구 관악로 212 관악프라자 지하1층,37.48362314,126.9551835,문화,새서점      
대성서점,은평구 갈현로29길 51-30,37.62240897,126.9102646,문화,새서점      
대승서적,종로구 율곡로14길 57,37.57377607,127.0041809,문화,새서점      
대영도서,천호대로87길 14,37.56227471,127.067711,문화,새서점      
대영문고,강서구 양천로 669 2층,37.55185997,126.8712031,문화,새서점      
대오서점,자하문로7길 55,37.57974782,126.9693065,문화,새서점      
대원서적,종로구 종로 258 덕성빌딩,37.5706569,127.0064795,문화,새서점      
대원서점,성북구 정릉로 241,37.60529785,127.010903,문화,새서점      
대원서점,중구 청계천로 274 다12호,37.56942586,127.0080476,문화,헌서점      
대원책문고,영등포구 당산로45길 1 당산 삼성쉐르빌 205호,37.53323429,126.9005103,문화,새서점      
대일서점,금천구 시흥대로 474,37.47586215,126.8990107,문화,새서점      
대지책문고,강서구 등촌로39길 13 지하1층,37.54552768,126.8614993,문화,새서점      
대천서점,관악구 남부순환로 1734 지하1층,37.48198569,126.9427729,문화,새서점      
대흥서점,강북구 도봉로 49길 19,37.62495077,127.0254013,문화,헌서점      
더레퍼런스,종로구 자하문로24길 44,37.58228897,126.9718052,문화,새서점      
더레퍼런스(서소문점),중구 덕수궁길 61 전시동 3층,37.56410607,126.9736993,문화,새서점      
더북소사이어티,종로구 자하문로19길 25 지하 1층,37.58213209,126.9695429,문화,새서점      
더북스 금성서적,신반포로3길 8 B104 ,37.50213895,126.986904,문화,새서점      
더북스 반포점,서초구 고무래로 22,37.5025732,127.0107579,문화,새서점      
더북스 신대방점,상도로 37,37.50001128,126.9246811,문화,새서점      
더북스 한길서점(방배),서초구 동작대로 132 안석빌딩 지하1층,37.48825796,126.9827699,문화,새서점      
더숲 초소책방,종로구 인왕산로 172,37.58595334414469,126.96427697514989,문화,새서점      
덕인서림,중구 청계천로 274 다32호,37.56942586,127.0080476,문화,헌서점      
도도봉봉,도봉구 도봉로114길 57,37.64767751,127.0374983,문화,새서점      
도원문고,성동구 독서당로 294 지하1층,37.5479506,127.0216299,문화,새서점      
도토리책방,"서울 광진구 아차산로41길 7, 1층 101호 ",37.5381755,127.0787878,문화,새서점      
도하서림,용산구 한강대로 104길 45 상아빌딩 401호,37.55057222,126.9746821,문화,새서점      
도화북스(도화아파트먼트),마포구 도화2길 27,37.5395405,126.9494904,문화,새서점      
독립서점 화서가, 월정로30길 52 2층,37.53463977,126.8388072,문화,새서점      
독서관,동교로27길 41 1층 독서관,37.55968033,126.9214578,문화,새서점      
동남서적,종로구 종로6가 267-1,37.57104979,127.006996,문화,새서점      
동네책방 원테이블,금천구 독산로8길 14,37.44934994,126.9063021,문화,새서점      
동네책방개똥이네책놀이터,마포구 월드컵로 128-3,37.55982606,126.9071049,문화,새서점      
동명서점,"종로구 종로 266, A-20호",37.5706569,127.0064795,문화,새서점      
동방서적,구로구 경인로 219 지하1층,37.49681576,126.8450708,문화,새서점      
동신서림,중구 청계천로 246  다139호,37.56936838,127.0047211,문화,헌서점      
동아서점,중구 청계천로 274 다11호,37.56942586,127.0080476,문화,헌서점      
동아서점,도봉구 덕릉로 253,37.64029729,127.0393961,문화,새서점      
동아서점,강남구 압구정로 29길 68,37.53253638,127.0291865,문화,새서점      
동양서림,종로구 창경궁로 271-1,37.58556826,127.0006014,문화,새서점      
동일서점프라자,금천구 금하로 771,37.45050633,126.9155489,문화,새서점      
동지서적,종로구 김상옥로 64-1 여양진씨대종회 회관,37.57336582,127.0048969,문화,새서점      
동화마을,중구 청계천로 274 다91호,37.56942586,127.0080476,문화,헌서점      
두나서점(도곡점),강남구 선릉로 325 지하1층,37.49859224,127.0515659,문화,새서점      
드림서점,관악구 은천로25길 27 하우젠빌 104호,37.48794795,126.9493096,문화,새서점      
디자인북,마포구 동교로 148-8,37.55501333,126.9186372,문화,새서점      
땡스북스,마포구 양화로6길 57-6,37.54886806,126.9177079,문화,새서점      
라이너노트,마포구 양화로15안길 6,37.55446549,126.9188414,문화,새서점      
로뎀서적,강서구 월정로 128-1 지하1층,37.53063817,126.8381598,문화,새서점      
로우북스,마포구 포은로 56,37.552386,126.9067828,문화,새서점      
로프 에디션스,마포구 희우정로16길 50,37.55474866,126.9047167,문화,새서점      
로프트북스,종로구 창의문로 129 2층,37.5923736,126.9659978,문화,새서점      
마들문고,노원구 동일로 1550 고려프라자빌딩 지하1층,37.66691162,127.0575497,문화,새서점      
마음책방 서가는,종로구 창경궁로35길 21,37.58698605,127.0017643,문화,새서점      
마이어 날다,용산구 서빙고로 17 용산센트럴파크 해링턴스퀘어 상가 Mall D 2층 43호,37.52690561,126.9665662,문화,새서점      
마이페이버릿,종로구 자하문로 121 지하 1층,37.58686372,126.9694751,문화,새서점      
마중물서점,송파구 삼전로 99,37.50726237,127.0901339,문화,새서점      
마포문고,마포구 큰우물로 60 지하1층,37.54182496,126.9448138,문화,새서점      
마포문구문고,강서구 화곡로 404 1층,37.55924246,126.8544406,문화,새서점      
만나서적,종로구 율곡로14길 57,37.57377607,127.0041809,문화,새서점      
만유인력,손기정로 52,37.55617216,126.9623763,문화,새서점      
만점문고,영등포구 당산로44길 3,37.53191435,126.9010775,문화,새서점      
만화뱅크,노원구 초안산로 19,37.62954665,127.0541691,문화,헌서점      
만화살롱 유어마나,마포구 와우산로 13 지하1층,37.54565425,126.9227213,문화,새서점      
매거진랜드,마포구 잔다리로6길 17 1층,37.55224414,126.9201179,문화,새서점      
매일문고,은평구 서오릉로 133,37.61062883,126.9178217,문화,새서점      
메종인디아 트래블앤북스,서초구 방배로23길 31-43,37.48508984,126.9922195,문화,새서점      
명덕서점,강서구 공항대로36길 91,37.5544673,126.8362392,문화,새서점      
명동문고,서울 중구 명동길 66,37.56392941,126.9860336,문화,새서점      
명지서점,서대문구 가좌로 120,37.58322713,126.9255128,문화,새서점      
모닝책서점(모닝글로리),도봉구 시루봉로 67,37.65683757,127.0275781,문화,새서점      
모모,도봉로181나길 16 B1,37.68345125,127.0444235,문화,새서점      
모즈나,고산16길  9 1층,37.55407674,126.9448098,문화,새서점      
목동문고,양천구 목동서로 400 10단지아파트 A상가 지하 1층,37.51500506,126.8580457,문화,새서점      
목수책방,강동구 천호대로 1073 힐탑오피스텔 819호,37.53652526,127.1314029,문화,새서점      
무수책방,강남구 봉은사로29길 6 1층 101호,37.50819173,127.0348341,문화,새서점      
무아레 서점,천호대로89길 9 2층,37.56228522,127.0680643,문화,새서점      
무엇보다 책방,송파구 백제고분로 45길 30 미석빌딩 305호 ,37.51049471,127.1084796,문화,새서점      
문성서점,중구 청계천로 274 다82호,37.56942586,127.0080476,문화,헌서점      
문학살롱 초고,독막로2길 30,37.54727401,126.9142783,문화,새서점      
문향서점,중구 수표로2길 11,37.56223378,126.9911499,문화,새서점      
문화공간 길담,종로구 자하문로17길 12-9,37.58173442,126.9696777,문화,새서점      
문화문고,서대문구 간호대로 4,37.59663765,126.9490122,문화,새서점      
문화서점,동작구 상도로 175,37.50454902,126.9382077,문화,헌서점      
문화서점,마포구 성암로 267 mbc 지하 1층 mbc몰,37.58112342,126.890989,문화,새서점      
문화서점,성북구 정릉로 330-1,37.60196033,127.0197434,문화,헌서점      
뭐든지 책방,종로구 창신길 119,37.57669052,127.0100096,문화,새서점      
미스터리 유니온,서대문구 이화여대길 88-11,37.55935841,126.9437109,문화,새서점      
미하북스,은평구 증산로21길 10-1,37.59601054,126.9136736,문화,새서점      
민영서점,도봉구 도봉로 180나길 41 한신쇼핑 3층 318호,37.68434454,127.0498958,문화,새서점      
민중서림,중구 청계천로 274 다14호,37.56942586,127.0080476,문화,헌서점      
믿음문고,서초구 양재천로 95-4,37.47619357,127.0395963,문화,새서점      
밍키,중구 청계천로 274 다10호,37.56942586,127.0080476,문화,헌서점      
바람길,중랑구 망우로 332,37.59700674,127.0892755,문화,새서점      
반도서점,금천구 독산로 136,37.45950062,126.9052313,문화,새서점      
밝은책방,관악구 봉천로 540-1 2층,37.47838571,126.9577682,문화,새서점      
밤의서점,서대문구 성산로 309-51,37.56671359,126.9240556,문화,새서점      
배광서점,양천구 목동중앙남로 28,37.53647642,126.8673893,문화,새서점      
배화우리서점,종로구 필운대로1길 31,37.57777837,126.9677399,문화,새서점      
백호문구서점,마포구 광성로6안길 10,37.54886866,126.9381762,문화,새서점      
번동문고,강북구 오현로 191 지하1층,37.62882043,127.0391947,문화,새서점      
번역가의 서재,마포구 동교로17길 67 101호,37.55765179,126.9142773,문화,새서점      
법문서적,신림로23길 16 2층,37.47048117,126.9344768,문화,새서점      
벧엘서점,강서구 강서로47길 36,37.55295337,126.8341859,문화,새서점      
벨리븐,회나무로12길 5 Beleben,37.53913801,126.9896175,문화,새서점      
별책방(구예스서점),서대문구 거북골로20길 71 창경빌딩 지하1층,37.58107104,126.9112801,문화,새서점      
별책부록,용산구 신흥로16길 7,37.54493118,126.9869973,문화,새서점      
보람책문고,노원구 한글비석로 466 지하1층,37.66457189,127.0664179,문화,새서점      
보안책방,종로구 효자로 33 2층,37.57911789,126.9736303,문화,새서점      
본동서적,금천구 금하로 631-7,37.45514372,126.9012035,문화,새서점      
봄서점,강동구 양재대로 1341 지하1층,37.52615734,127.1351684,문화,새서점      
부비프,성북구 보문로30가길 31,37.58926091,127.0214972,문화,새서점      
북감자(보성서점),강동구 양재대로89길 28,37.52689198,127.133932,문화,새서점      
북데이423,강동구 고덕로 266,37.55469368,127.1551146,문화,새서점      
북라인,관악구 신림로28길 81,37.47202216,126.9378065,문화,새서점      
북바이북,종로구 새문안로5길 19 로얄빌딩,37.57202956,126.9742933,문화,새서점      
북뱅크,노원구 한글비석로 242 삼부프라자 지하1층,37.6492349,127.0769736,문화,새서점      
북새통문고,마포구 양화로 188 애경타워 5층,37.55774581,126.9264983,문화,새서점      
북스리브로(구로점),구로구 구로중앙로 152 NC신구로점 5층,37.50116014,126.882773,문화,새서점      
북스리브로(상봉점),중랑구 상봉로 131 상봉 듀오트리스 지하 1층,37.59740662,127.0921776,문화,새서점      
북스토어17,독막로5길 33,37.54943953,126.9185605,문화,새서점      
북스피리언스,마포구 연남로11길 34 지하1층,37.56540751,126.9170931,문화,새서점      
북악서점,성북구 정릉로 159,37.60779676,127.0027864,문화,새서점      
북오피스,강서구 공항대로48길 47,37.55261303,126.8545282,문화,새서점      
북촌책방,종로구 북촌로5길 19-12,37.5789522,126.9842012,문화,헌서점      
북커스,종로구 평창30길 10 2층,37.6109244,126.9751427,문화,새서점      
북티크,독막로31길 9 2층,37.55358661,126.9187818,문화,새서점      
분당책선생,송파구 송파대로 425 문화빌딩 지하1층,37.5046823,127.1071315,문화,헌서점      
비건책방 서울,서대문구 가재울로2안길 29-14,37.57530743,126.9238625,문화,새서점      
비엥북스,은평구 서오릉로 149 쿠아레비 구산점 내,37.60590116,126.9223492,문화,새서점      
비주얼 콜렉트,연무장13길 3 2층 오른쪽호,37.54199845,127.057923,문화,새서점      
비플랫폼(B-Platform),마포구 독막로2길 22 3층,37.54763092,126.9144439,문화,새서점      
비화림,종로구 창덕궁길 153 1층,37.58298867,126.9873972,문화,새서점      
사가정문고,중랑구 사가정로 398,37.58028764,127.0888166,문화,새서점      
사슴책방(성산점),마포구 성미산로13길 110,37.56576617,126.9162929,문화,새서점      
사유의 사유,도봉구 방학로 3길 12,37.6621909,127.0407489,문화,새서점      
사이에 Tea n Book,인사동5길 14,37.57275197,126.9853656,문화,새서점      
사진책방 고래,종로구 자하문로 106,37.58537668,126.9703564,문화,새서점      
사해책방 ,양천구 목동중앙북로 33-20,37.54864596,126.8682829,문화,새서점      
산책자,성지길 36 3층,37.5471544,126.9129891,문화,새서점      
살롱 도스또옙스끼,은평구 가좌로 317 2층,37.59580973,126.9097156,문화,헌서점      
살롱드북,관악구 남부순환로231길 11,37.48039477,126.9569792,문화,새서점      
삼보서점문구,관악구 인헌9길 31,37.47280985,126.9685786,문화,새서점      
삼환서점,강동구 구천면로 427,37.55050639,127.1461468,문화,새서점      
상계문고,노원구 동일로 1361 상계주공2단지상가 지하1층,37.65006498,127.0612842,문화,새서점      
상상아이서점,강서구 강서로48길 39 2층 ,37.5525607,126.8385922,문화,새서점      
상상하는 삐삐,중랑구 중랑천로 117 정광빌딩,37.59570848,127.0720292,문화,새서점      
상암누리문고,마포구 월드컵북로 396 누리꿈스퀘어 지하1층 1093호,37.57944191,126.8903226,문화,새서점      
상현서림,중랑구 답십리로77길 39,37.5733742,127.081476,문화,헌서점      
새고서림,영등포구 영신로39길 8-1 201호,37.52169042,126.900341,문화,새서점      
새벽감성1집,양천구 월정로50길 16-8,37.54133887,126.8316923,문화,새서점      
샘서림,개포로 218,37.47850244,127.046661,문화,새서점      
생각의 주인,솔밭로7길 17,37.48027196,126.9633731,문화,새서점      
서문서점,중구 청계천로 274 다87호,37.56942586,127.0080476,문화,헌서점      
서사 당신의 서재,용산구 대사관로 6길 5 파크랜드빌딩  6층,37.53411088,127.0003518,문화,새서점      
서울 셀렉션,종로구 삼청로 6,37.57649164,126.9798626,문화,새서점      
서울의 시간을 그리다,서대문구 독립문로 31-6,37.56945215,126.9616107,문화,새서점      
서울책방,"중구 세종대로 110, 지하 1층",37.56631742,126.9778292,문화,새서점      
서울책보고,송파구 오금로 1,37.50712541,127.1189589,문화,헌서점      
서일서적,중랑구 용마산로 86길 15,37.58634569,127.0961214,문화,새서점      
서적백화점,강남구 선릉로 325 지하1층,37.49859224,127.0515659,문화,새서점      
서점 로티,광진구 용마산로 88-7 1층,37.5615827,127.0878665,문화,새서점      
서점 리스본,마포구 성미산로23길 60  1~3층,37.56610369,126.9200702,문화,새서점      
서점 마므레,서대문구 명지대길 10 2층,37.58079402,126.925122,문화,새서점      
서점 정치발전소,마포구 독막로7길 8 2층,37.54825593,126.9187559,문화,새서점      
서점극장 라블레,마포구 백범로25길 5,37.54638507,126.9462977,문화,새서점      
서초서적문구,서초구 효령로 224,37.48329291,127.0085356,문화,새서점      
서촌 그 책방,종로구 자하문로5가길 30-1,37.57875851,126.9703205,문화,새서점      
서향관,중구 을지로20길 32-3 203호,37.56498098,126.9951959,문화,새서점      
석계문고,노원구 화랑로 349 지하1층,37.61537186,127.0666738,문화,새서점      
선경문고,강남구 삼성로 311 제동빌딩,37.49964489,127.0601506,문화,새서점      
선문고(선서적),금천구 독산로74길 6,37.46866206,126.9026334,문화,새서점      
선영씨 책방,도봉구 삼양로 534-6 2층,37.65077694,127.0135443,문화,새서점      
선유서가,영등포구 양평로30가길 22,37.54278668,126.8907204,문화,새서점      
성북동책방,성북구 동소문로13가길 36,37.59140788,127.0110889,문화,새서점      
세륜서점,송파구 오금로31길 13,37.5071717,127.1216332,문화,새서점      
세신서점,송파구 양산로 14,37.49023952,127.1437991,문화,새서점      
세화서점,신반포로 100  B09호,37.50308493,126.9956936,문화,새서점      
세화영어서점,성북구 삼양로 15-2,37.60466914,127.0246461,문화,새서점      
소나기 그림책방,서대문구 독립문로 32 2층,37.56928427,126.9612723,문화,새서점      
소리북스,성북구 성북로13길2 2층,37.59274943,127.0016836,문화,새서점      
소수책방,중구 다산로20길 26 2층,37.55681312,127.0135208,문화,새서점      
소요서가,"중구 청계천로 160 청계세운상가 바열 309, 310호",37.56797986,126.9953651,문화,새서점      
소원책담,종로구 혜화로 6길 17,37.58756324,127.0007693,문화,새서점      
송파문고,송파구 송파대로37길 70 지하1층,37.49965476,127.1046404,문화,새서점      
송파서적,송파구 송파대로32길 8 1층,37.49681342,127.117596,문화,헌서점      
수도서림,광진구 용마산로22길 9,37.56369692,127.0875821,문화,새서점      
수수책방,토정로 8-7,37.54538549492255,126.91180454986436,문화,새서점      
수수한 책방,솔매로50길 81,37.622873402325766,127.02840496350396,문화,새서점      
숙명도서,용산구 청파로47길 88,37.54514394,126.965943,문화,새서점      
순정책방,강동구 동남로65길 15-5,37.54747901,127.1550007,문화,새서점      
순화동천,서소문로9길 28,37.56361935920111,126.9703136497192,문화,새서점      
숨어있는 책,마포구 신촌로12길 30 지하,37.55503325,126.9325099,문화,헌서점      
숭실서적,은평구 은평터널로7길 17-2 ,37.59231015,126.9044129,문화,새서점      
스캐터북스,월드컵로11길 44 102호,37.55432368,126.9086162,문화,새서점      
스쿨서점,동작구 대방동길 71,37.50445617,126.9251902,문화,새서점      
스타더스트,종로구 새문안로5길 5-7 3층,37.57069897,126.9747221,문화,새서점      
스토리지북앤필름,용산구 신흥로 115-1,37.54474562,126.9831368,문화,새서점      
스토리지북앤필름(로터리점),용산구 신흥로36길 5,37.54650528,126.981948,문화,새서점      
스토리지북앤필름(후암점),용산구 두텁바위로 94-1,37.54741549,126.9820979,문화,새서점      
스토리텔링,성동구 서울숲4길 13,37.54756905,127.0424499,문화,새서점      
스페인책방,중구 퇴계로 36길 29 기남빌딩 5층 603호,37.56054635,126.9950575,문화,새서점      
스프링 플레어,마포구 동교로27길 53,37.56013049,126.9209422,문화,새서점      
스프링한국어서점,마포구 양화로 193,37.55884094,126.9258762,문화,새서점      
시시소소,도화2길 27 도화아파트먼트 마포 3층,37.5395405,126.9494904,문화,새서점      
시인서점,양천구 오목로 41,37.52219667,126.8422007,문화,새서점      
시절인연,성북구 보국문로16가길 43-20,37.61268385,127.0113192,문화,새서점      
신고서점,도봉구 삼양로144길 21,37.65175543,127.0141334,문화,헌서점      
신공손서점,중랑구 봉화산로 194 신내동 신아타운 지하 1층,37.60645263,127.094707,문화,새서점      
신동아문고,영등포구 영등포로 382-1,37.513501,126.9205137,문화,새서점      
